Project;Fix Commit;Compilable;Version;Command;;;Summary;;;;Etichette di riga;Conteggio di Si/No;Conteggio % di Si/No
https://github.com/apache/tomcat;492cbc9a1e33e6d356438bcba4fa2b67680d245a;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-ldap;1;0,22%
https://github.com/apache/tomcat;ebe5c16f18ce1559e8462a94b3876a98525980d2;Si;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;cbc9b18a845d3c8c053ac293dffda6c6c19dd92b;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-webflow;5;1,11%
https://github.com/apache/tomcat;48dded4ab1209a030770ab67a789d3b2528b6329;No;JDK 17;ant compile;;;;;;;No;5;100,00%
https://github.com/apache/tomcat;fd8a579e0e2379a84826b11700adf396e4ed2041;No;JDK 17;ant compile;;;;;;;https://github.com/square/okhttp;3;0,67%
https://github.com/apache/tomcat;0ff4905158b77787a7f3aca55c9dec93456665dc;No;JDK 17;ant compile;;;;;;;No;3;100,00%
https://github.com/apache/tomcat;b94478d45b7e1fc06134a785571f78772fa30fed;No;JDK 17;ant compile;;;;;;;https://github.com/square/retrofit;2;0,44%
https://github.com/apache/tomcat;516bda676ac8d0284da3e0295a7df70391315360;No;JDK 17;ant compile;;;;;;;No;2;100,00%
https://github.com/apache/tomcat;6b2cfacf749be186ea77249a979af1d4863e47ba;No;JDK 17;ant compile;;;;;;;https://github.com/Wechat-Group/WxJava;1;0,22%
https://github.com/apache/tomcat;008447095ce8c3a8f713093d5e618f3f06f94ea8;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;1bc3bcb2848f478fd6674487d6dad507fd5dd686;No;JDK 17;ant compile;;;;;;;Totale complessivo;450;100,00%
https://github.com/apache/tomcat;ed4b9d791f9470e4c3de691dd0153a9ce431701b;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;407841c426dc52a4c6b8ccd297df6c484a540056;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;89cd0cf33a99dbbcf5c69050a83b6876e39269d7;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;6b61911f94d6d8d49ee933c5f1882a7e7c336d2c;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;f626da75fd59da82b14dee7b8cc46ad51eefdbe5;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;d83a76732e6804739b81d8b2056365307637b42d;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;4545dcce444aa619374a659cb450dbbd0be3c921;Si;JDK 1.8;ant compile;;;;;;;;;
https://github.com/apache/tomcat;5971f9392edc6d70808b2599b062b050fcd11d23;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;ce70ee6b8fe437a498a375215011056702b0c481;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;5517c5517e8a7ddb994504f0c5c05001a376b10c;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;3e1010b1a2f648581fac3d68afbf18f2979f6bf6;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;f646a5acd5e32d6f5a2d9bf1d94ca66b65477675;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;92cd494555598e99dd691712e8ee426a2f9c2e93;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;3e54b2a6314eda11617ff7a7b899c251e222b1a1;No;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;ad3b34a290a0255d2a4c356a3611ab41ed9d04f5;Si;JDK 17;ant compile;;;;;;;;;
https://github.com/apache/tomcat;452c8094a665ef6375530e81c033da4eeb2e4865;No;JDK 17;ant compile;;;;;;;;;
https://github.com/cloudfoundry/uaa;5dc5ca9176ed5baa870680d99f37e7e559dddc5;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;;;
https://github.com/cloudfoundry/uaa;24bc5ade80560cedb9300940d2b398163ab0dc6;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;;;
